index,Location_name,Handler,Location_id,Longitude,Latitude,in_SG?
186, Transview Golf TMCC Tampines,country-club---tampines-course, 928630147329137,103.97267758011999,1.3262999891784,Southeast
187, Global Tots Preschool,global-tots-preschool, 325691658,103.79842901814001,1.3103681227848,Northwest
188, Global Tots Preschool - Mountbatten,global-tots-preschool, 1493358374088509,103.89378,1.29968,Southeast
189, St Margaret's Primary School,margaret's-primary-school, 1192658,103.84612393271,1.303924268518,Central
190, St. Margaret's Primary School,margaret's-primary-school, 168608300271030,103.84585724786,1.3041973793216,Central
191, Macpherson Minced Meat Noodle,meat-noodle, 279660970,103.86938212439001,1.3293216222222,Southeast
192, Hiang Ji Roasted Meat & Noodle House,meat-noodle, 6093735,103.84818506375,1.332961852824,Central
193, Minced Meat Noodle,meat-noodle, 1013938636,103.85545045399999,1.301540674,Central
194, Compassvale Lane Blk 206A,blk-206a, 289852078,103.89701240289,1.3866450033463,Northeast
195, Blk 206A Compsssvale Lane,blk-206a, 245062003023749,103.89649577876,1.386738146034,Northeast
196, Blk 206A Boon Lay Drive,blk-206a, 308134493,103.71533553333,1.3454702266477,Southwest
197, Bus Stop 67201 (Blk 206A),blk-206a, 244799106380883,103.89620551661999,1.3866167001238998,Northeast
198, LE Regal,le-regal, 878161817,103.87990509616999,1.3126009580898998,Southeast
199, Sin Chie Toke Huan,sin-chie, 1515870,103.88808001235,1.3630731269417,Northeast
200, Anglo Indian Cafe & Bar,anglo-indian-cafe-&, 113989282630744,103.85276432769001,1.2948487445299999,Central
201, Anglo Indian Cafe n Bar,anglo-indian-cafe-&, 959524776,103.85032873700001,1.278909385,Central
202, SAF NTU Academy,saf-ntu, 331396047663361,103.68426262330999,1.3434610074948001,Southwest
203, Jurong Community Hospital,jurong-community-hospital, 1021413992,103.7470833,1.3329444,Southwest
204, Ng Teng Fong Hospital,jurong-community-hospital, 1797773257156066,103.7452613,1.3340823,Southwest
205, A63 DENTAL,jurong-community-hospital, 185342149044727,103.74420445995001,1.3354970353984,Southwest
206, Ambulatory/Endoscopy Discharge Lounge,jurong-community-hospital, 458061424719862,103.74585,1.3334854,Southwest
207, Espace de Prière,jurong-community-hospital, 310992336151060,103.74535288185999,1.3330787868454,Southwest
208, Carlisle Road,carlisle-road, 3415036,103.8478311757,1.3147305663935,Central
209, OverEasy,overeasy, 452992,103.85438922606,1.2860856923626,Central
210, OverEasy Orchard,overeasy, 968833471,103.8307037,1.30511,Central
211, PA Water-Venture at Lower Seletar Reservoir,water-venture-lower-seletar, 319628087,103.83261095555001,1.4107286470718998,Central
212, Yuan Vegetarian Bistro,yuan-vegetarian, 392106199,103.86296542573,1.3124918313954,Central
213, Bee Huat Department Store,bee-huat-department-store, 305658993429552,103.807978,1.2733430000000001,Southwest
214, Bee Huat Department Store @Bedok,bee-huat-department-store, 311551529679371,103.91371083038,1.3333045625005,Northeast
215, Bee Huat Department Store ( Tampines),bee-huat-department-store, 1883660108388581,103.94498,1.346009,Northeast
216, Shaw Theatres nex,shaw-theatres, 639443,103.87178006401,1.3506415225762,Southeast
217, Shaw Theatres @ Lot 1,shaw-theatres, 13428505,103.74496396493,1.3849614696503,Southwest
218, Shaw Theatres,shaw-theatres, 498089265,103.8315,1.30579,Central
